date,likes,user,location,text
2022-06-18 17:34:48+00:00,1,adrianalima8712,"Nova Iguaçu, RJ","Fui tratada igual um pedaço de cocô no Boticário da Nilo Peçanha, em Nova Iguaçu. Me ignoraram e depois me mandaram esperar numa fila só p/ confirmar o preço de um kit. Perdi a paciência e fui embora! Compro amanhã no Shopping Grande Rio, e olha q nem era pra comprar mais no Boti"
2022-06-18 17:17:56+00:00,0,eeeh_ruan,Cpx do Salgueiro ,"aqui a o Boticário entregou tudo, só faltou o black que é meu preferido"
2022-06-18 17:17:52+00:00,0,otav_ior,"Campinas, Brasil",experimentei um perfume tão incrível hj na boticário 🤤🤤 acho q achei meu cheiro mas n tenho dinheiro KKKKKKKKKKKKKK POBREZA MISERÁVELLLLL
2022-06-18 17:03:15+00:00,1,SpaceCaat_,"Sumeru, Teyvat","KWKTKWKFKWKSJEJS O TEMPLATE ROUBADO DA O BOTICÁRIO

enfim, 🕳️ o que issi significa"
2022-06-18 16:59:58+00:00,0,beadelune,"Camaçari, Brasil",Dei 200 na boticario e vou dar mais 200 na epoca cosmeticos resto do mês como sal e bolacha cream cracker
2022-06-18 16:57:12+00:00,0,ContilNet,Rio Branco - Acre,Jackie Pinheiro: Rebecca se une ao Boticário para lançar Nativa SPA Morango Ruby https://t.co/GI6P4fwgmM
2022-06-18 16:45:16+00:00,0,Luanmeupandinha,,"Caralho fui comprar um pijama pra minha amiga( amiga de infância) e agora sou madrinha de casamento, paguei 80 reais 🙆🏽‍♀️ eu considero ela mt viu pqp viu o pijama caro +creme da boticário"
2022-06-18 16:43:25+00:00,0,luizaa_Naasc,New Orleans,Acabei de pagar minha conta na O boticário esse mes e ja fui la e comprei a nova linha de morango deles 🫶🏽🥰
2022-06-18 16:41:10+00:00,0,thaislais26,Deus❤,Minha cuma me deu um perfume cheirosão da o boticário..🥰
2022-06-18 16:40:10+00:00,6,umacertagabi,"São Paulo, Brasil",minha sugestão pra manu gavassi é continuar nas maquiagens (a linha dela pro boticário é bem boa)
2022-06-18 16:27:50+00:00,1,thamiryscabrall,,Tô doida no body splash viagem encantada do o boticário e tá esgotado no site
2022-06-18 15:55:55+00:00,0,barbarasamuel_,Brasil,"viciada em ver minha caixa de e-mail 
na esperança de um dia receber um da boticário que fui contratada

ja pensou?"
2022-06-18 15:55:44+00:00,0,ManoPv013,"Praia Grande, Brasil","Esse Perfume Elysee Da Boticário E Bom Pra Crlh, Novinha Roncou 😬"
2022-06-18 15:41:57+00:00,0,jckonner,sorocaba sp,"@doritosbrasil Nossa a Doritos deve estar morrendo de medo dos gados, não era esse povo que ia falir o Boticário,o burguer king,o Google  kkkk vão sonhando otários"
2022-06-18 15:30:13+00:00,3,paulovictr9,,O foda de trabalhar no Boticário é deixar metade do salário no próprio Boticário kkkkkkkkkkkkkkk
2022-06-18 15:19:39+00:00,0,Manu11_04,"Duque de Caxias, Brasil",@NairaJlia1 Natura e boticário ainda e muito tem gente que nunca usou um perfume desses kkkkk
